item_id,developer,genre
761140.0,Kotoshiro,Action
761140.0,Kotoshiro,Casual
761140.0,Kotoshiro,Indie
761140.0,Kotoshiro,Simulation
761140.0,Kotoshiro,Strategy
643980.0,Secret Level SRL,Free to Play
643980.0,Secret Level SRL,Indie
643980.0,Secret Level SRL,RPG
643980.0,Secret Level SRL,Strategy
670290.0,Poolians.com,Casual
670290.0,Poolians.com,Free to Play
670290.0,Poolians.com,Indie
670290.0,Poolians.com,Simulation
670290.0,Poolians.com,Sports
767400.0,彼岸领域,Action
767400.0,彼岸领域,Adventure
767400.0,彼岸领域,Casual
772540.0,Trickjump Games Ltd,Action
772540.0,Trickjump Games Ltd,Adventure
772540.0,Trickjump Games Ltd,Simulation
774276.0,Poppermost Productions,Free to Play
774276.0,Poppermost Productions,Indie
774276.0,Poppermost Productions,Simulation
774276.0,Poppermost Productions,Sports
774277.0,Poppermost Productions,Free to Play
774277.0,Poppermost Productions,Indie
774277.0,Poppermost Productions,Simulation
774277.0,Poppermost Productions,Sports
774278.0,Poppermost Productions,Free to Play
774278.0,Poppermost Productions,Indie
774278.0,Poppermost Productions,Simulation
774278.0,Poppermost Productions,Sports
768800.0,RewindApp,Casual
768800.0,RewindApp,Indie
768800.0,RewindApp,Racing
768800.0,RewindApp,Simulation
770380.0,Stegalosaurus Game Development,Action
770380.0,Stegalosaurus Game Development,Adventure
770380.0,Stegalosaurus Game Development,Casual
770380.0,Stegalosaurus Game Development,Indie
770380.0,Stegalosaurus Game Development,RPG
768880.0,Copperpick Studio,Casual
768880.0,Copperpick Studio,Indie
765320.0,Ghulam Jewel,Casual
765320.0,Ghulam Jewel,Indie
765320.0,Ghulam Jewel,Simulation
773650.0,Apillo,Adventure
773650.0,Apillo,Casual
773650.0,Apillo,Indie
773650.0,Apillo,Simulation
773650.0,Apillo,Strategy
774271.0,Poppermost Productions,Free to Play
774271.0,Poppermost Productions,Indie
774271.0,Poppermost Productions,Simulation
774271.0,Poppermost Productions,Sports
773690.0,Apillo,Adventure
773690.0,Apillo,Casual
773690.0,Apillo,Indie
773690.0,Apillo,Simulation
773690.0,Apillo,Strategy
774279.0,Poppermost Productions,Free to Play
774279.0,Poppermost Productions,Indie
774279.0,Poppermost Productions,Simulation
774279.0,Poppermost Productions,Sports
768060.0,Tero Lunkka,Action
768060.0,Tero Lunkka,Adventure
768060.0,Tero Lunkka,Indie
775880.0,FrozenPepper,Racing
775880.0,FrozenPepper,Simulation
775880.0,FrozenPepper,Sports
775881.0,FrozenPepper,Racing
775881.0,FrozenPepper,Simulation
775881.0,FrozenPepper,Sports
653960.0,Casey Labrack,Action
653960.0,Casey Labrack,Indie
282010.0,Stainless Games Ltd,Action
282010.0,Stainless Games Ltd,Indie
282010.0,Stainless Games Ltd,Racing
70.0,Valve,Action
752360.0,dev4play,Action
752360.0,dev4play,Indie
752360.0,dev4play,RPG
520680.0,BlueLine Games,Casual
520680.0,BlueLine Games,Indie
520680.0,BlueLine Games,Strategy
690410.0,Games by Brundle,Action
766850.0,ETGgames,Casual
766850.0,ETGgames,Indie
766850.0,ETGgames,Simulation
413120.0,ProjectorGames,Action
413120.0,ProjectorGames,Casual
413120.0,ProjectorGames,Indie
413120.0,ProjectorGames,Massively Multiplayer
413120.0,ProjectorGames,Simulation
413120.0,ProjectorGames,Sports
413120.0,ProjectorGames,Strategy
773120.0,Unknown Indie Devs,Adventure
773120.0,Unknown Indie Devs,Casual
773120.0,Unknown Indie Devs,Indie
754360.0,The Commander,Action
754360.0,The Commander,Adventure
754360.0,The Commander,RPG
716110.0,"lalalaZero,Urbanoff",Adventure
716110.0,"lalalaZero,Urbanoff",Casual
716110.0,"lalalaZero,Urbanoff",Indie
716110.0,"lalalaZero,Urbanoff",RPG
1640.0,Strategy First,Strategy
1630.0,Strategy First,Strategy
2400.0,Outerlight Ltd.,Action
2400.0,Outerlight Ltd.,Indie
2400.0,Outerlight Ltd.,RPG
381620.0,Breakout Studio,Indie
381620.0,Breakout Studio,Massively Multiplayer
381620.0,Breakout Studio,RPG
381620.0,Breakout Studio,Early Access
759920.0,Ultraint,Action
759920.0,Ultraint,Indie
759920.0,Ultraint,Strategy
759920.0,Ultraint,Early Access
659780.0,Seth Albertus,Action
659780.0,Seth Albertus,Adventure
659780.0,Seth Albertus,Indie
659780.0,Seth Albertus,RPG
659780.0,Seth Albertus,Strategy
603280.0,TPM.CO SOFT WORKS,Action
603280.0,TPM.CO SOFT WORKS,Adventure
603280.0,TPM.CO SOFT WORKS,Indie
603280.0,TPM.CO SOFT WORKS,RPG
